onset	duration	gain
4.08	4	6
13.133	4	11
18.334	4	5
23.835	4	7
30.824	4	15
37.424	4	12
46.224	4	20
54.224	4	12
61.625	4	12
69.827	4	15
76.027	4	13
83.528	4	15
93.43	4	17
99.632	4	20
105.033	4	18
113.934	4	7
120.035	4	19
125.626	4	17
133.726	4	14
142.626	4	17
149.226	4	7
154.926	4	6
160.026	4	5
169.728	4	18
175.428	4	5
180.929	4	14
192.131	4	9
199.933	4	11
205.434	4	12
214.735	4	10
220.527	4	11
225.527	4	5
233.927	4	16
239.528	4	5
245.528	4	14
251.128	4	18
256.628	4	19
261.828	4	11
268.328	4	16
275.73	4	11
283.33	4	11
289.532	4	8
294.733	4	7
302.434	4	20
310.235	4	13
317.828	4	8
323.529	4	11
332.629	4	14
337.629	4	10
343.429	4	14
353.029	4	14
360.429	4	6
369.329	4	18
376.23	4	16
382.932	4	17
391.933	4	13
399.534	4	19
408.836	4	9
414.73	4	8
420.831	4	14
428.73	4	10
435.63	4	20
441.03	4	18
4.049	4	11
21.733	4	9
29.135	4	13
37.236	4	14
42.725	4	14
50.526	4	10
56.526	4	20
66.226	4	8
71.326	4	9
80.227	4	10
85.828	4	12
91.929	4	16
98.13	4	19
103.831	4	9
110.432	4	19
115.937	4	5
122.034	4	16
127.735	4	7
136.827	4	7
142.327	4	19
150.527	4	19
155.727	4	17
161.227	4	8
169.128	4	18
178.428	4	15
186.429	4	16
191.43	4	9
196.431	4	20
212.534	4	16
220.135	4	6
226.836	4	11
234.628	4	6
244.229	4	12
251.129	4	18
256.329	4	8
262.529	4	17
272.429	4	15
278.329	4	19
287.63	4	14
293.031	4	5
298.232	4	6
304.833	4	12
311.034	4	10
318.636	4	12
324.43	4	8
331.43	4	8
340.33	4	12
347.932	4	14
353.53	4	19
362.53	4	16
369.431	4	17
375.231	4	6
380.631	4	11
389.731	4	6
395.332	4	19
401.033	4	18
408.534	4	14
415.939	4	5
422.031	4	15
428.531	4	13
435.932	4	18
441.032	4	5
4.075	4	20
13.326	4	7
18.827	4	15
26.429	4	17
31.53	4	7
39.431	4	8
47.832	4	6
55.233	4	12
60.935	4	13
65.935	4	17
71.823	4	10
80.823	4	13
86.324	4	17
95.224	4	6
100.325	4	7
108.126	4	15
113.727	4	8
119.428	4	9
126.329	4	13
134.03	4	9
141.032	4	12
147.633	4	9
153.034	4	13
160.636	4	17
170.525	4	20
178.025	4	14
189.925	4	20
199.025	4	5
204.226	4	7
209.727	4	16
216.629	4	8
225.932	4	20
230.931	4	9
237.132	4	20
243.233	4	16
248.434	4	15
254.935	4	9
261.626	4	10
266.826	4	5
275.726	4	14
285.326	4	10
290.928	4	12
296.527	4	5
304.327	4	17
311.728	4	19
317.73	4	19
323.931	4	9
332.132	4	19
341.234	4	6
346.935	4	12
352.336	4	17
358.128	4	20
364.727	4	13
370.928	4	13
378.328	4	8
383.828	4	20
400.328	4	9
406.429	4	15
416.13	4	9
424.132	4	5
432.935	4	11
441.035	4	5
4.076	4	9
9.625	4	10
15.526	4	13
21.627	4	5
28.628	4	18
36.33	4	8
44.731	4	17
52.132	4	17
62.035	4	15
67.436	4	16
73.926	4	15
80.126	4	11
89.026	4	16
94.626	4	15
100.427	4	7
105.93	4	18
111.027	4	5
119.828	4	6
128.829	4	10
136.631	4	10
144.732	4	17
150.934	4	7
156.435	4	10
165.736	4	6
175.028	4	16
184.127	4	20
193.228	4	19
198.228	4	18
203.428	4	11
208.528	4	18
215.128	4	11
220.829	4	13
230.531	4	8
235.532	4	16
242.432	4	8
249.334	4	16
254.835	4	9
263.729	4	19
271.329	4	20
277.529	4	18
285.029	4	7
290.729	4	15
298.329	4	12
304.13	4	14
311.53	4	14
321.13	4	19
328.935	4	6
336.934	4	7
342.634	4	8
348.735	4	10
354.236	4	10
362.131	4	12
367.53	4	16
374.131	4	15
379.331	4	10
386.934	4	15
393.631	4	7
399.631	4	20
408.531	4	12
414.631	4	7
422.031	4	6
427.232	4	18
435.433	4	11
441.034	4	18
