onset	duration	loss
4.05	4	14
16.633	4	18
21.732	4	12
27.133	4	13
32.933	4	20
40.334	4	19
45.935	4	18
51.336	4	9
57.033	4	17
65.833	4	20
70.833	4	9
79.733	4	5
87.433	4	10
96.534	4	10
103.434	4	15
108.634	4	20
115.334	4	6
122.934	4	17
129.935	4	9
137.938	4	5
144.535	4	17
150.236	4	14
158.335	4	15
167.235	4	7
175.435	4	5
181.435	4	7
195.937	4	8
201.435	4	9
206.635	4	12
215.636	4	19
223.235	4	9
230.635	4	11
242.636	4	10
252.538	4	9
258.739	4	19
267.636	4	12
277.225	4	5
285.127	4	6
290.628	4	15
296.829	4	20
306.131	4	19
311.933	4	13
319.733	4	14
325.334	4	8
330.837	4	16
338.421	4	10
345.321	4	16
350.822	4	8
356.023	4	14
362.624	4	13
370.025	4	20
379.727	4	13
387.228	4	6
392.932	4	14
399.13	4	8
408.432	4	9
417.533	4	20
425.335	4	8
430.436	4	17
435.422	4	10
441.022	4	14
4.049	4	15
12.232	4	16
18.433	4	7
23.434	4	11
28.935	4	12
33.93	4	11
40.029	4	12
46.629	4	11
52.129	4	6
61.229	4	15
66.931	4	14
73.529	4	9
81.429	4	18
87.129	4	15
94.03	4	16
99.531	4	10
106.032	4	16
114.134	4	7
123.035	4	13
130.63	4	18
136.43	4	19
141.83	4	15
151.131	4	20
156.53	4	8
162.43	4	11
169.83	4	20
176.53	4	20
184.531	4	5
193.431	4	15
201.232	4	16
207.333	4	11
213.334	4	6
218.835	4	18
227.631	4	11
232.831	4	6
241.934	4	18
249.532	4	17
258.532	4	10
264.132	4	19
269.832	4	9
275.032	4	11
281.933	4	20
290.832	4	18
300.733	4	13
310.335	4	8
317.736	4	7
322.833	4	17
328.633	4	18
336.333	4	6
342.533	4	8
347.733	4	16
355.133	4	5
362.733	4	15
370.233	4	7
379.534	4	7
387.334	4	18
393.534	4	7
400.534	4	18
406.135	4	10
412.236	4	8
420.637	4	12
426.234	4	14
431.334	4	16
441.035	4	11
4.045	4	5
12.236	4	8
21.136	4	12
28.031	4	9
33.232	4	16
38.333	4	6
43.736	4	10
51.237	4	5
61.121	4	15
70.222	4	19
77.623	4	5
87.325	4	13
93.026	4	13
100.627	4	7
106.729	4	17
112.329	4	15
119.731	4	8
128.832	4	11
134.533	4	11
140.034	4	18
145.538	4	14
151.722	4	14
159.622	4	6
164.722	4	10
170.223	4	14
179.825	4	19
188.726	4	17
194.427	4	7
200.628	4	12
206.729	4	9
213.231	4	13
219.832	4	14
225.032	4	5
231.734	4	10
237.235	4	12
243.036	4	19
250.623	4	17
259.925	4	16
265.123	4	20
270.724	4	6
276.725	4	19
282.326	4	12
289.928	4	17
296.028	4	5
302.229	4	16
311.031	4	18
320.033	4	8
325.834	4	19
333.635	4	13
342.927	4	14
350.926	4	15
355.927	4	11
361.824	4	19
370.725	4	12
377.726	4	5
386.128	4	12
393.529	4	19
406.231	4	5
412.832	4	6
419.734	4	9
427.535	4	17
435.626	4	9
441.026	4	14
4.051	4	10
11.733	4	19
20.134	4	10
29.834	4	6
36.435	4	11
42.336	4	18
51.938	4	17
57.534	4	8
63.734	4	8
71.334	4	10
77.334	4	20
84.834	4	6
92.634	4	17
101.735	4	7
106.935	4	6
112.035	4	20
117.535	4	13
123.035	4	13
130.635	4	9
136.336	4	16
141.837	4	5
149.238	4	6
155.335	4	9
161.035	4	13
168.835	4	13
175.336	4	10
181.035	4	16
186.235	4	12
194.336	4	14
199.336	4	12
207.236	4	8
216.336	4	7
223.036	4	13
230.436	4	11
236.22	4	15
245.122	4	12
253.123	4	16
258.324	4	5
267.625	4	17
273.026	4	18
280.428	4	15
289.729	4	15
295.933	4	7
304.933	4	15
310.433	4	16
317.434	4	19
323.238	4	19
328.821	4	20
337.721	4	11
346.623	4	6
354.224	4	16
361.125	4	20
371.027	4	13
377.128	4	9
384.029	4	10
389.03	4	17
397.832	4	17
402.935	4	5
409.034	4	11
415.635	4	12
423.822	4	20
429.423	4	7
434.823	4	18
441.023	4	7
